TestName,Algorithm,Parameter,NumNodes,NumEdges,Communities,Potential,Modularity,Iterations,ConvergedAt,ExecutionTime,Timestamp
Hedonic_NoConstraint,Hedonic,0.010000,34,213,3,198.420000,0.181765,3,3,0.0031,2025-12-19T22:06:50+03:00
Hedonic_NoConstraint,Hedonic,0.020000,34,213,3,195.840000,0.181765,3,3,0.0026,2025-12-19T22:06:50+03:00
Hedonic_NoConstraint,Hedonic,0.030000,34,213,3,191.520000,0.110086,3,3,0.0036,2025-12-19T22:06:50+03:00
Hedonic_NoConstraint,Hedonic,0.040000,34,213,3,188.360000,0.110086,3,3,0.0026,2025-12-19T22:06:50+03:00
Hedonic_NoConstraint,Hedonic,0.050000,34,213,4,186.750000,-0.000066,3,3,0.0036,2025-12-19T22:06:50+03:00
Hedonic_NoConstraint,Hedonic,0.060000,34,213,3,185.520000,0.181765,3,3,0.0030,2025-12-19T22:06:50+03:00
Hedonic_NoConstraint,Hedonic,0.070000,34,213,6,177.580000,-0.000331,3,3,0.0040,2025-12-19T22:06:50+03:00
Hedonic_NoConstraint,Hedonic,0.080000,34,213,4,177.440000,0.163878,3,3,0.0020,2025-12-19T22:06:50+03:00
Hedonic_NoConstraint,Hedonic,0.090000,34,213,4,175.120000,0.163878,2,2,0.0034,2025-12-19T22:06:50+03:00
Hedonic_NoConstraint,Hedonic,0.100000,34,213,6,165.400000,-0.000331,3,3,0.0030,2025-12-19T22:06:50+03:00
Hedonic_NoConstraint,Hedonic,0.300000,34,213,7,132.700000,0.168827,3,3,0.0030,2025-12-19T22:06:50+03:00
Hedonic_NoConstraint,Hedonic,0.500000,34,213,8,89.000000,0.146917,3,3,0.0030,2025-12-19T22:06:50+03:00
Hedonic_NoConstraint,Hedonic,0.700000,34,213,10,50.300000,0.129372,4,4,0.0040,2025-12-19T22:06:50+03:00
Hedonic_NoConstraint,Hedonic,0.900000,34,213,10,15.600000,0.139908,4,4,0.0030,2025-12-19T22:06:50+03:00
Hedonic_K2,Hedonic_FixedK,2.000000,34,213,2,119.700000,0.196379,3,3,0.0010,2025-12-19T22:06:50+03:00
Hedonic_K3,Hedonic_FixedK,3.000000,34,213,3,125.400000,0.182955,3,3,0.0020,2025-12-19T22:06:50+03:00
Hedonic_K4,Hedonic_FixedK,4.000000,34,213,4,129.200000,0.162027,3,3,0.0010,2025-12-19T22:06:50+03:00
Hedonic_K5,Hedonic_FixedK,5.000000,34,213,5,130.800000,0.177390,3,3,0.0020,2025-12-19T22:06:50+03:00
Hedonic_K6,Hedonic_FixedK,6.000000,34,213,6,129.500000,0.181247,3,3,0.0020,2025-12-19T22:06:50+03:00
ML_NoConstraint,ML_beta_0.1,0.200000,34,213,7,23.000000,0.009368,100,100,0.0510,2025-12-19T22:06:50+03:00
ML_NoConstraint,ML_beta_0.5,0.200000,34,213,3,139.800000,0.106493,100,100,0.0360,2025-12-19T22:06:50+03:00
ML_NoConstraint,ML_beta_1.0,0.200000,34,213,3,147.000000,0.197635,100,100,0.0330,2025-12-19T22:06:50+03:00
ML_NoConstraint,ML_beta_0.1,0.500000,34,213,6,-14.500000,0.010029,100,100,0.0490,2025-12-19T22:06:50+03:00
ML_NoConstraint,ML_beta_0.5,0.500000,34,213,5,65.500000,0.136955,100,100,0.0385,2025-12-19T22:06:50+03:00
ML_NoConstraint,ML_beta_1.0,0.500000,34,213,6,77.500000,0.143909,100,100,0.0350,2025-12-19T22:06:51+03:00
ML_NoConstraint,ML_beta_0.1,0.800000,34,213,5,-53.800000,0.009335,100,100,0.0515,2025-12-19T22:06:51+03:00
ML_NoConstraint,ML_beta_0.5,0.800000,34,213,8,-13.000000,0.068836,100,100,0.0450,2025-12-19T22:06:51+03:00
ML_NoConstraint,ML_beta_1.0,0.800000,34,213,9,1.000000,0.062862,100,100,0.0436,2025-12-19T22:06:51+03:00
ML_K2,ML_FixedK,2.000000,34,213,2,53.500000,0.198935,100,100,0.0284,2025-12-19T22:06:51+03:00
ML_K3,ML_FixedK,3.000000,34,213,3,66.500000,0.182955,100,100,0.0320,2025-12-19T22:06:51+03:00
ML_K4,ML_FixedK,4.000000,34,213,4,67.500000,0.148835,100,100,0.0340,2025-12-19T22:06:51+03:00
ML_K5,ML_FixedK,5.000000,34,213,4,74.500000,0.173389,100,100,0.0333,2025-12-19T22:06:51+03:00
ML_K6,ML_FixedK,6.000000,34,213,5,77.000000,0.152770,100,100,0.0450,2025-12-19T22:06:51+03:00
